"","Player","Country.x","Bat_pc1","Country.y","Ball_pc1"
"98","GJ Delany","Overseas",3.16973147590063,"Overseas",4.15365850928968
"99","GJ Maxwell","Overseas",2.87216839057752,"Overseas",-0.818529210572164
"100","GT Main","Overseas",-2.69599595288398,"Overseas",-3.15722704926164
"101","Gulbadin Naib","Overseas",-1.44447443984409,"Overseas",-3.35382744330961
"102","H Klaasen","Overseas",1.53012779256525,"Overseas",NA
"103","HC Brook","Overseas",4.4269567785675,"Overseas",NA
"104","HE van der Dussen","Overseas",-0.152307650337847,"Overseas",NA
"105","HG Munsey","Overseas",0.586590694182286,"Overseas",NA
"106","HH Pandya","Local",6.85182128195371,"Local",5.81303057665344
"107","HR Walsh","Overseas",-2.7146126458137,"Overseas",-0.355157078105604
"108","HT Tector","Overseas",4.43497382751291,"Overseas",NA
"109","HV Patel","Local",-1.24290906889688,"Local",6.93350789799072
"110","Haider Ali","Overseas",-0.175889026786466,"Overseas",NA
"111","Hamza Tahir","Overseas",-3.07542583698584,"Overseas",-2.80341745415595
"112","Haris Rauf","Overseas",-1.12938131792113,"Overseas",7.98136396207829
"113","Hasan Ali","Overseas",-2.42378090989341,"Overseas",-2.96378411283939
"114","Hasan Mahmud","Overseas",-2.28444869789843,"Overseas",1.60509539083428
"115","Hashmatullah Shahidi","Overseas",-1.54258692029096,"Overseas",NA
"116","Hazratullah","Overseas",3.29458828700279,"Overseas",NA
"117","I Kaia","Overseas",-0.084332983092157,"Overseas",-3.43452142598949
"118","IS Sodhi","Overseas",-1.46119783146174,"Overseas",6.91894689758813
"119","Ibrahim Zadran","Overseas",3.74287315169877,"Overseas",NA
"120","Iftikhar Ahmed","Overseas",4.57676889595103,"Overseas",-0.752122609735949
"121","Ihsanullah","Overseas",-2.25598786758444,"Overseas",NA
"122","Ishan Kishan","Local",5.34331539735834,"Local",NA
"123","J Charles","Overseas",-0.355074810358367,"Overseas",NA
"124","J Little","Overseas",-1.90241911819384,"Overseas",9.30712257038983
"125","J Liyanage","Overseas",-2.05215291254436,"Overseas",NA
"126","J Theron","Overseas",-3.10327126716465,"Overseas",-1.4743670878163
"127","JA Richardson","Overseas",-2.74781952476145,"Overseas",-1.1600254375574
"128","JC Buttler","Overseas",4.81621405761554,"Overseas",NA
"129","JDF Vandersay","Overseas",-2.8788674015546,"Overseas",-1.92727235462619
"130","JDS Neesham","Overseas",2.270817889618,"Overseas",-0.706712746158483
"131","JH Davey","Overseas",-2.94333943494608,"Overseas",-2.12152876237699
"132","JJ Roy","Overseas",1.64336330663898,"Overseas",NA
"133","JM Bairstow","Overseas",0.498942562152336,"Overseas",NA
"134","JM Vince","Overseas",-0.336846836923303,"Overseas",NA
"135","JO Holder","Overseas",0.423083370768334,"Overseas",5.88072439832222
"136","JP Inglis","Overseas",0.414567591225267,"Overseas",NA
"137","JR Hazlewood","Overseas",-3.0017846986764,"Overseas",4.4295915168074
"138","JS Malhotra","Overseas",-0.593491513837088,"Overseas",NA
"139","Junaid Siddique","Overseas",-1.44733254083896,"Overseas",4.90815108192973
"140","K Mishara","Overseas",-2.46837911229691,"Overseas",NA
"141","K Rabada","Overseas",-2.23985067683252,"Overseas",2.74542586669601
"142","KA Maharaj","Overseas",-0.982090908861383,"Overseas",2.94414595372813
"143","KA Pollard","Overseas",-0.231516999796065,"Overseas",-1.07588334939812
"144","KD Karthik","Local",3.02787075493895,"Local",-4.00800461626709
"145","KIC Asalanka","Overseas",4.26893547601245,"Overseas",-3.03188802469644
"146","KL Rahul","Local",5.07718125421115,"Local",NA
"147","KMA Paul","Overseas",-2.33829415408589,"Overseas",-2.65691983973716
"148","KP Meiyappan","Overseas",-2.23783275918982,"Overseas",1.71711248440049
"149","KR Mayers","Overseas",4.21629892217381,"Overseas",-1.74034833438
"150","KS Williamson","Overseas",5.7932137037661,"Overseas",NA
"151","KW Richardson","Overseas",-3.0055861644564,"Overseas",0.864440253761938
"152","Karim Janat","Overseas",-1.96415070173246,"Overseas",-2.5042774619639
"153","Kashif Daud","Overseas",-1.21269780402901,"Overseas",0.260717313545418
"154","Khushdil Shah","Overseas",0.0975203002301879,"Overseas",-3.63273327620964
"155","L Ngidi","Overseas",-2.28969498853046,"Overseas",2.51872975924233
"156","L Tucker","Overseas",7.87931093965947,"Overseas",NA
"157","LA Dawson","Overseas",-1.80165302750858,"Overseas",-2.0695780878705
"158","LD Chandimal","Overseas",-1.01548500464766,"Overseas",NA
"159","LH Ferguson","Overseas",-3.10327126716465,"Overseas",3.35560214864008
"160","LM Jongwe","Overseas",0.839364802492801,"Overseas",4.76459515314349
"161","LS Livingstone","Overseas",0.841983907830894,"Overseas",0.332253184724786
"162","LV van Beek","Overseas",-1.55136295971749,"Overseas",1.69740808271965
"163","Liton Das","Overseas",5.90581303315181,"Overseas",NA
"164","M Jansen","Overseas",-2.62408337164276,"Overseas",-3.1630241511123
"165","M Labuschagne","Overseas",-3.03145771814731,"Overseas",NA
"166","M Pathirana","Overseas",-2.91834305820909,"Overseas",-3.96647219317426
"167","M Shumba","Overseas",1.18687684854482,"Overseas",-2.63130922914098
"168","M Theekshana","Overseas",-2.35267821977487,"Overseas",6.80624693239546
"169","MA Jones","Overseas",-0.307934009765801,"Overseas",NA
"170","MA Leask","Overseas",-1.59708965345555,"Overseas",-1.79758630260174
"171","MA Starc","Overseas",-2.55516888998989,"Overseas",2.87500332166157
"172","MD Gunathilaka","Overseas",1.10385288508577,"Overseas",-3.67511607672556
"173","MD Patel","Overseas",-0.52198197591285,"Overseas",NA
"174","MD Shanaka","Overseas",5.38357351142349,"Overseas",-0.75542063199099
"175","MG Bracewell","Overseas",-0.126369224215077,"Overseas",1.07653989021047
"176","MH Cross","Overseas",-1.61022254737849,"Overseas",NA
"177","MJ Guptill","Overseas",1.78272885771191,"Overseas",NA
"178","MJ Santner","Overseas",0.482630467179875,"Overseas",5.13989262759564
"179","MJ Swepson","Overseas",-2.92682787311461,"Overseas",-3.82681937834153
"180","MM Ali","Overseas",5.63028731362426,"Overseas",2.19899793489675
"181","MO Kain","Overseas",-2.3044100640696,"Overseas",-3.56042653172
"182","MP O'Dowd","Overseas",5.35675937144404,"Overseas",NA
"183","MP Stoinis","Overseas",3.01580205060993,"Overseas",-0.271624271123944
"184","MR Adair","Overseas",1.14046234429688,"Overseas",11.1464359602575
"185","MR Marsh","Overseas",1.02059705570455,"Overseas",-2.97208550735604
"186","MRJ Watt","Overseas",-2.00928717324403,"Overseas",-0.753956301709192
"187","MS Chapman","Overseas",0.179053132182875,"Overseas",NA
"188","MS Wade","Overseas",2.48510121575715,"Overseas",NA
"189","MW Parkinson","Overseas",-3.09470305279674,"Overseas",-2.91020808983368
"190","Mahedi Hasan","Overseas",-1.64919671691747,"Overseas",0.109862700591485
"191","Mahmudullah","Overseas",-0.240930363307441,"Overseas",-2.94670155315194
"192","Mehedi Hasan Miraz","Overseas",0.342552631105763,"Overseas",-1.98430228355903
"193","Mohammad Boota","Overseas",-2.11791957502667,"Overseas",NA
"194","Mohammad Haris","Overseas",-0.593718507675293,"Overseas",NA
"195","Mohammad Hasnain","Overseas",-2.52908064215909,"Overseas",1.89283499446865
"196","Mohammad Nabi","Overseas",1.41996962457018,"Overseas",2.09174027443953
"197","Mohammad Naim","Overseas",-2.38045005349939,"Overseas",NA
"198","Mohammad Nawaz","Overseas",3.20975813507365,"Overseas",5.43553615877194
"199","Mohammad Rizwan","Overseas",14.8629743114784,"Overseas",NA
"200","Mohammad Saifuddin","Overseas",-2.98480132127029,"Overseas",-0.948323197143218
"201","Mohammad Wasim","Overseas",-1.85236455947133,"Overseas",4.28251316888027
"202","Mohammed Shami","Local",-3.20970352177368,"Local",-0.49735024192844
"203","Mohammed Siraj","Local",-2.91331279679381,"Local",-1.96191021966989
"204","Mosaddek Hossain","Overseas",1.18679940358454,"Overseas",1.40584515594342
"205","Muhammad Usman","Overseas",-2.12229940261159,"Overseas",NA
"206","Mujeeb Ur Rahman","Overseas",-2.21090212631106,"Overseas",2.57081305348061
"207","Munim Shahriar","Overseas",-1.98386972573562,"Overseas",NA
"208","Mushfiqur Rahim","Overseas",-2.02576060486258,"Overseas",NA
"209","Mustafizur Rahman","Overseas",-2.41384211034872,"Overseas",4.59660897267074
"210","N Pooran","Overseas",6.94716884140571,"Overseas",NA
"211","N Thushara","Overseas",-2.88032829057167,"Overseas",-2.84779326959031
"212","NK Patel","Overseas",-1.53166109924901,"Overseas",-1.43713222345031
"213","NT Ellis","Overseas",-3.20970352177368,"Overseas",-1.95941263675558
"214","Najibullah Zadran","Overseas",3.92163550647202,"Overseas",NA
"215","Naseem Shah","Overseas",-1.93979036401565,"Overseas",4.67246430438288
"216","Nasum Ahmed","Overseas",-2.3230931035738,"Overseas",0.76535420323395
"217","Naveen-ul-Haq","Overseas",-2.760095310545,"Overseas",0.787999238793443
"218","Nazmul Hossain Shanto","Overseas",3.742998659099,"Overseas",NA
"219","Nijat Masood","Overseas",-2.98206638024796,"Overseas",-1.93249284416509
"220","Noor Ahmad","Overseas",-2.98911216503452,"Overseas",-2.81395540197836
