"","Player","Year","Dots","Singles","Twos","Threes","Fours","Sixes","Total_runs","Total_balls","Dismissals","Matches","High_score","Max_strike_rate","Bat_avg","Wining_balls","Country","Batsman_status"
"150","KS Williamson",2022,127,170,39,4,28,11,504,414,12,13,61,400,42,148,"Overseas",1
"151","KW Richardson",2022,1,1,0,0,0,0,1,2,1,2,1,100,1,1,"Overseas",1
"152","Karim Janat",2022,24,21,3,0,2,0,35,46,4,5,15,85.7142857142857,8.75,18,"Overseas",1
"153","Kashif Daud",2022,22,19,3,0,3,4,61,42,7,8,28,254.545454545455,8.71428571428571,18,"Overseas",1
"154","Khushdil Shah",2022,50,65,4,0,6,8,145,118,8,11,35,218.75,18.125,39,"Overseas",1
"155","L Ngidi",2022,8,3,1,0,1,0,9,12,1,3,4,400,9,0,"Overseas",1
"156","L Tucker",2022,176,178,39,6,51,15,567,433,23,26,78,205.263157894737,24.6521739130435,186,"Overseas",1
"157","LA Dawson",2022,14,6,2,0,6,1,40,25,3,3,34,226.666666666667,13.3333333333333,3,"Overseas",1
"158","LD Chandimal",2022,38,45,4,0,7,2,93,91,5,6,25,156.25,18.6,0,"Overseas",1
"159","LH Ferguson",2022,0,1,0,0,0,0,1,1,0,1,1,100,1,0,"Overseas",1
"160","LM Jongwe",2022,52,52,10,1,14,7,172,124,11,15,35,223.076923076923,15.6363636363636,56,"Overseas",1
"161","LS Livingstone",2022,51,57,12,0,12,7,182,134,10,14,42,200,18.2,93,"Overseas",1
"162","LV van Beek",2022,23,17,6,1,0,1,38,44,4,7,19,135.714285714286,9.5,18,"Overseas",1
"163","Liton Das",2022,134,143,35,2,55,16,535,360,18,18,69,260,29.7222222222222,131,"Overseas",1
"164","M Jansen",2022,14,2,0,0,1,1,12,16,1,1,12,75,12,0,"Overseas",1
"165","M Labuschagne",2022,3,2,0,0,0,0,2,3,1,1,2,66.6666666666667,2,5,"Overseas",1
"166","M Pathirana",2022,8,3,1,0,0,0,5,11,1,1,5,45.4545454545455,5,0,"Overseas",1
"167","M Shumba",2022,71,66,19,1,8,3,157,155,12,16,29,233.333333333333,13.0833333333333,100,"Overseas",1
"168","M Theekshana",2022,14,8,1,0,0,1,16,22,3,6,11,100,5.33333333333333,2,"Overseas",1
"169","MA Jones",2022,30,30,8,0,10,4,110,76,4,4,86,156.363636363636,27.5,17,"Overseas",1
